fund_slug,description
shenzhen-capital,Shenzhen Capital Group | Type: Venture | Tier: 3 | Based in China
ryan-selkis,Ryan Selkis | Type: Angel Investor | Tier: 3 | Based in United States
fuel-network,Fuel Network | Type: Corporation | Tier: 3 | Location: Not specified
tradeweb,Tradeweb | Type: Venture | Tier: 3 | Based in United States
boxcars-ventures,Boxcars Ventures | Type: Venture | Tier: 3 | Based in United States
gfr-fund,GFR Fund | Type: Venture | Tier: 3 | Based in United States
kevinlin,Kevin Lin | Type: Angel Investor | Tier: 3 | Based in United States
dymension,Dymension | Type: Corporation | Tier: 3 | Location: Not specified
osmosis,Osmosis | Type: Corporation | Tier: 3 | Location: Not specified
hjmomtazi,Jordan Momtazi | Type: Angel Investor | Tier: 3 | Based in Bermuda
continuecapital,Continue Capital | Type: Venture | Tier: 3 | Based in United States
tcg-crypto,TCG Crypto | Type: Venture | Tier: 3 | Location: Not specified
marc-bhargava,Marc Bhargava | Type: Angel Investor | Tier: 3 | Based in United States
t-b-media-global,T&B Media Global | Type: Corporation | Tier: 3 | Based in Thailand
deus-x-capital,Deus X Capital | Type: Venture | Tier: 3 | Based in United Kingdom
eco,Eco | Type: Corporation | Tier: 3 | Based in Switzerland
etherscan,Etherscan | Type: Corporation | Tier: 3 | Location: Not specified
night-ventures,Night Ventures | Type: Venture | Tier: 3 | Based in United States
scott-belsky,Scott Belsky | Type: Angel Investor | Tier: 3 | Based in United States
justin-kan,Justin Kan | Type: Angel Investor | Tier: 3 | Based in United States
ryan-adams,Ryan Sean Adams | Type: Angel Investor | Tier: 3 | Based in United States
kevin-durant,Kevin Durant | Type: Angel Investor | Tier: 3 | Based in United States
second-live,SecondLive | Type: Corporation | Tier: 3 | Based in Hong Kong
greycroft,Greycroft | Type: Venture | Tier: 3 | Based in United States
bond-capital,Bond Capital | Type: Venture | Tier: 3 | Based in United States
benchmark,Benchmark | Type: Venture | Tier: 3 | Based in United States
telos,Telos | Type: Corporation | Tier: 3 | Based in Cayman Islands
angeldao,AngelDAO | Type: DAO | Tier: 3 | Based in United Kingdom
new-enterprise,New Enterprise Associates (NEA) | Type: Venture | Tier: 3 | Based in United States
vendetta-capital,Vendetta Capital | Type: Venture | Tier: 3 | Based in Australia
plutodigitalassets,Pluto Digital Assets | Type: Venture | Tier: 3 | Based in United Kingdom
berachain,Berachain | Type: Corporation | Tier: 3 | Based in Cayman Islands
mantis-vc,Mantis VC | Type: Venture | Tier: 3 | Based in United States
z-venture-capital,Z Venture Capital | Type: Venture | Tier: 3 | Based in Japan
messari,Messari | Type: Corporation | Tier: 3 | Location: Not specified
luka-sucic,Luka Sucic | Type: Angel Investor | Tier: 3 | Based in Poland
double-top,DOUBLETOP | Type: Venture | Tier: 3 | Based in Ukraine
raydium,Raydium | Type: Corporation | Tier: 3 | Based in Singapore
ontario-teachers-pension-plan,Ontario Teachers Pension Plan | Type: Venture | Tier: 3 | Based in Canada
mgnr,mgnr | Type: Venture | Tier: 3 | Based in Singapore
bitdao,BitDAO | Type: DAO | Tier: 3 | Location: Not specified
gem-capital,Gem Capital | Type: Venture | Tier: 3 | Based in Cyprus
tyler-ward,Tyler Ward | Type: Angel Investor | Tier: 3 | Based in United States
jinglan-wang,Jinglan Wang | Type: Angel Investor | Tier: 3 | Location: Not specified
connext,Everclear (prev Connext) | Type: Corporation | Tier: 3 | Based in United States
11-11-dg-partners,11–11 DG partners | Type: Venture | Tier: 3 | Based in United States
protocol-ventures,Protocol Ventures | Type: Venture | Tier: 3 | Based in United States
launchzone,LaunchZone  | Type: Corporation | Tier: 3 | Based in Vietnam
makerdao,Sky (ex-Maker) | Type: Corporation | Tier: 3 | Based in United States
zola-global-investors,Zola Global Investors | Type: Venture | Tier: 3 | Based in Canada
3base,3Base | Type: Corporation | Tier: 4 | Location: Not specified
perpetual-value-partners,Perpetual Value Partners | Type: Corporation | Tier: 4 | Based in United States
foundership,Foundership | Type: Venture | Tier: 4 | Based in UAE
zellic,Zellic | Type: Venture | Tier: 4 | Location: Not specified
press-start-capital,Press Start Capital | Type: Venture | Tier: 4 | Location: Not specified
sign-vc,Sign VC | Type: Venture | Tier: 4 | Location: Not specified
untamed-ventures,Untamed Ventures | Type: Venture | Tier: 4 | Location: Not specified
compa-capital,Compa Capital | Type: Venture | Tier: 4 | Location: Not specified
humans-ai,Humans.ai | Type: Corporation | Tier: 4 | Location: Not specified
babylon,Babylon | Type: Corporation | Tier: 4 | Location: Not specified
pexx,PEXX | Type: Corporation | Tier: 4 | Location: Not specified
zk-ventures,ZK Ventures | Type: Venture | Tier: 4 | Location: Not specified
eternal-asia-group,Eternal Asia Group | Type: Venture | Tier: 4 | Location: Not specified
sdm-education,SDM Education | Type: Venture | Tier: 4 | Location: Not specified
sunfund-fortuna-global-opportunities,Sunfund Fortuna Global Opportunities | Type: Venture | Tier: 4 | Location: Not specified
TigerBCDAO,TigerBCDAO | Type: Venture | Tier: 4 | Location: Not specified
edessa-capital,Edessa Capital | Type: Venture | Tier: 4 | Location: Not specified
iberia-capital,Iberia Capital | Type: Venture | Tier: 4 | Location: Not specified
nuclea,Nuclea | Type: Venture | Tier: 4 | Location: Not specified
momentum-6,Momentum 6 | Type: Venture | Tier: 4 | Based in United States
sts-digital,STS Digital | Type: Venture | Tier: 4 | Location: Not specified
liquidx,LiquidX | Type: Venture | Tier: 4 | Location: Not specified
arena-holdings,Arena Holdings | Type: Venture | Tier: 4 | Location: Not specified
dclm,DCLM | Type: Venture | Tier: 4 | Location: Not specified
precision-edge-capital,Precision Edge Capital | Type: Venture | Tier: 4 | Location: Not specified
crypto-banter,Crypto Banter | Type: Venture | Tier: 4 | Based in South Africa
vvv,vVv | Type: Venture | Tier: 4 | Based in United Kingdom
factor,Factor | Type: Corporation | Tier: 4 | Location: Not specified
fat-cat-ventures,Fat Cat Ventures | Type: Venture | Tier: 4 | Location: Not specified
vertex-labs,Vertex Labs | Type: Venture | Tier: 4 | Location: Not specified
astrax-capital,AstraX Capital | Type: Venture | Tier: 4 | Location: Not specified
gydra-capital,Gydra Capital | Type: Venture | Tier: 4 | Location: Not specified
acquire,Acquire | Type: Venture | Tier: 4 | Location: Not specified
radiance-ventures,Radiance Ventures | Type: Venture | Tier: 4 | Location: Not specified
gm-capital,Gm Capital | Type: Venture | Tier: 4 | Location: Not specified
third-earth-capital,Third Earth Capital | Type: Venture | Tier: 4 | Location: Not specified
hexens,hexens | Type: Corporation | Tier: 4 | Location: Not specified
purplesky-capital,PurpleSky Capital | Type: Venture | Tier: 4 | Location: Not specified
aquarius-fund,Aquarius Fund | Type: Venture | Tier: 4 | Location: Not specified
microcosm-labs,Microcosm Labs | Type: Venture | Tier: 4 | Location: Not specified
ton-market-maker,TON Market Maker (TMM) | Type: Venture | Tier: 4 | Location: Not specified
citizen-journalism-network-accelerator,Citizen Journalism Network Accelerator | Type: Corporation | Tier: 4 | Location: Not specified
tyregate-capital-group,TyreGate Capital Group | Type: Venture | Tier: 4 | Location: Not specified
truebridge-capital,TrueBridge Capital | Type: Venture | Tier: 4 | Location: Not specified
fzf-ventures,FZF Ventures | Type: Venture | Tier: 4 | Location: Not specified
dubai-labs,Dubai Labs | Type: Venture | Tier: 4 | Location: Not specified
unicorn-factory-ventures,Unicorn Factory Ventures | Type: Venture | Tier: 4 | Based in UAE
library-onchain,Library Onchain | Type: Venture | Tier: 4 | Location: Not specified
blocklabs,Blocklabs | Type: Venture | Tier: 4 | Based in France
bitlink,Bitlink | Type: Corporation | Tier: 4 | Location: Not specified
clairvoyant-labs,Clairvoyant Labs | Type: Venture | Tier: 4 | Location: Not specified
shadow-labs,Shadow Labs | Type: Venture | Tier: 4 | Location: Not specified
amplifypartners,Amplify Partners | Type: Venture | Tier: 4 | Based in United States
chainview-capital,Chainview Capital | Type: Venture | Tier: 4 | Based in United States
degods,DeGods | Type: Corporation | Tier: 4 | Location: Not specified
iceberg-capital,Iceberg Capital | Type: Venture | Tier: 4 | Location: Not specified
viden-vc,viden.vc | Type: Venture | Tier: 4 | Location: Not specified
find-satoshi-lab,Find Satoshi Lab | Type: Corporation | Tier: 4 | Based in Australia
mercatu-center,Mercatus Center | Type: Venture | Tier: 4 | Location: Not specified
covey,Covey | Type: Corporation | Tier: 4 | Location: Not specified
centauri-digital-asset-group,Centauri Digital Asset Group | Type: Venture | Tier: 4 | Location: Not specified
class-5-global,Class 5 Global | Type: Venture | Tier: 4 | Location: Not specified
core-dao,Core DAO | Type: DAO | Tier: 4 | Location: Not specified
rocinante-research,Rocinante Research | Type: Corporation | Tier: 4 | Based in United States
mines-of-dalarnia,Mines of Dalarnia | Type: Venture | Tier: 4 | Location: Not specified
my-neighbor-alice,My Neighbor Alice | Type: Corporation | Tier: 4 | Location: Not specified
fomo-ventures,FOMO Ventures | Type: Venture | Tier: 4 | Location: Not specified
moore-foundation,Moore Foundation | Type: Venture | Tier: 4 | Location: Not specified
bitkeep,Bitget Wallet | Type: Corporation | Tier: 4 | Based in Cayman Islands
samurai-starter,Samurai Starter | Type: Corporation | Tier: 4 | Location: Not specified
hypernest,HyperNest | Type: Venture | Tier: 4 | Location: Not specified
lynex,Lynex | Type: Corporation | Tier: 4 | Location: Not specified
hercules-dao,Hercules Ventures | Type: Venture | Tier: 4 | Location: Not specified
ava-protocol,Ava Protocol | Type: Corporation | Tier: 4 | Location: Not specified
aurory,Aurory | Type: Corporation | Tier: 4 | Location: Not specified
quotient-ventures,Quotient Ventures | Type: Venture | Tier: 4 | Location: Not specified
bison-fund,Bison Fund | Type: Venture | Tier: 4 | Based in United States
simurg-labs,Simurg Labs | Type: Venture | Tier: 4 | Location: Not specified
hardbank,Hardbank | Type: Venture | Tier: 4 | Location: Not specified
spacebar,Spacebar | Type: Corporation | Tier: 4 | Location: Not specified
oxbull-tech,Oxbull | Type: Venture | Tier: 4 | Based in South Korea
hidden-street,Hidden Street | Type: Venture | Tier: 4 | Location: Not specified
raven,Raven | Type: Venture | Tier: 4 | Location: Not specified
blockchain-association,Blockchain Association | Type: Venture | Tier: 4 | Based in United States
lunar-digital-assets,Lunar Digital Assets | Type: Venture | Tier: 4 | Location: Not specified
meezan-ventures,Meezan Ventures | Type: Venture | Tier: 4 | Location: Not specified
snova-capital,SNOVA Capital | Type: Venture | Tier: 4 | Location: Not specified
stoneblock,StoneBlock | Type: Venture | Tier: 4 | Location: Not specified
klein-labs,Klein Labs | Type: Venture | Tier: 4 | Location: Not specified
0x-consulting-group,0x Consulting Group | Type: Venture | Tier: 4 | Location: Not specified
zen-trading,Zen Trading Ltd | Type: Venture | Tier: 4 | Location: Not specified
spirit-dao,Spirit DAO | Type: DAO | Tier: 4 | Location: Not specified
doo-group,Doo Group | Type: Venture | Tier: 4 | Location: Not specified
finsec-innovation-lab,FinSec Innovation Lab | Type: Venture | Tier: 4 | Location: Not specified
xlink-ventures,XLink Ventures | Type: Venture | Tier: 4 | Location: Not specified
zk-prime-capital,ZK Prime Capital | Type: Venture | Tier: 4 | Location: Not specified
bitfun-capital,Bitfun Capital | Type: Venture | Tier: 4 | Location: Not specified
redline-labs,Redline Labs | Type: Venture | Tier: 4 | Based in Seychelles
aztlan-capital,Aztlan Capital | Type: Venture | Tier: 4 | Location: Not specified
undefined-labs,Undefined Labs | Type: Venture | Tier: 4 | Location: Not specified
triple-gem-capital,TripleGemCapital | Type: Venture | Tier: 4 | Location: Not specified
undefined-capital,Undefined Capital | Type: Venture | Tier: 4 | Location: Not specified
intella-x,Intella X | Type: Corporation | Tier: 4 | Location: Not specified
wtic,WTIC | Type: Venture | Tier: 4 | Location: Not specified
predator-capital,Predator Capital | Type: Venture | Tier: 4 | Location: Not specified
metrics-ventures,Metrics Ventures | Type: Venture | Tier: 4 | Location: Not specified
kekkai,KEKKAI | Type: Corporation | Tier: 4 | Location: Not specified
necessary-ventures,Necessary Ventures | Type: Venture | Tier: 4 | Location: Not specified
tide-groups,Tide Groups | Type: Venture | Tier: 4 | Location: Not specified
talos,Talos | Type: Corporation | Tier: 4 | Location: Not specified
sweep-ventures,Sweep Ventures | Type: Venture | Tier: 4 | Location: Not specified
evm-capital,EVM Capital | Type: Venture | Tier: 4 | Location: Not specified
infstones,InfStones | Type: Venture | Tier: 4 | Location: Not specified
ottersec,OtterSec | Type: Venture | Tier: 4 | Location: Not specified
99-capital,99 Capital | Type: Venture | Tier: 4 | Location: Not specified
normie-capital,Normie Capital | Type: Venture | Tier: 4 | Location: Not specified
elixir,Elixir | Type: Corporation | Tier: 4 | Based in United States
eaglestone-group,Eaglestone Group | Type: Venture | Tier: 4 | Based in Belgium
kdx,KDX | Type: Venture | Tier: 4 | Location: Not specified
reorganiza,Reorganiza | Type: Venture | Tier: 4 | Location: Not specified
republica,Republica | Type: Venture | Tier: 4 | Location: Not specified
versifi,VersiFi | Type: Corporation | Tier: 4 | Based in United States
metaplanet,Metaplanet | Type: Corporation | Tier: 4 | Based in Denmark
monad-labs,Monad Labs | Type: Venture | Tier: 4 | Based in United States
pentos-ventures,Pentos Ventures | Type: Venture | Tier: 4 | Location: Not specified
typhon-v,Typhon Ventures | Type: Venture | Tier: 4 | Location: Not specified
batuhandasgin,Batuhan Dasgin | Type: Angel Investor | Tier: 4 | Based in UAE
bigger-than-race,Bigger Than Race | Type: Venture | Tier: 4 | Location: Not specified
seedthrift-ventures,SeedThrift Ventures | Type: Venture | Tier: 4 | Location: Not specified
construct-ventures,Construct Ventures | Type: Venture | Tier: 4 | Location: Not specified
creditcoin,Creditcoin | Type: Corporation | Tier: 4 | Location: Not specified
gravity-fund,Gravity Fund | Type: Venture | Tier: 4 | Based in United States
jigeum-capital,jigeum capital | Type: Venture | Tier: 4 | Based in South Korea
optio-capital,Optio Capital | Type: Venture | Tier: 4 | Based in Australia
scimitar-capital,Scimitar Capital | Type: Venture | Tier: 4 | Location: Not specified
w-labs,W Labs | Type: DAO | Tier: 4 | Based in Singapore
phoenix,Phoenix | Type: Corporation | Tier: 4 | Based in China
principle68,Principle68 | Type: Hedge Fund | Tier: 4 | Location: Not specified
tensor-investment-corporation,Tensor Investment Corporation | Type: Corporation | Tier: 4 | Location: Not specified
x-labs,X Labs | Type: Corporation | Tier: 4 | Location: Not specified
dib-ventures,DIB Ventures | Type: Venture | Tier: 4 | Location: Not specified
swc-global,SWC Global | Type: Venture | Tier: 4 | Based in Singapore
alpha-capital,Alpha Capital | Type: Venture | Tier: 4 | Location: Not specified
bitcoinlab,BitcoinLab | Type: Venture | Tier: 4 | Location: Not specified
moonstarter,MoonStarter | Type: Corporation | Tier: 4 | Location: Not specified
ambient-network,Ambient Network | Type: Corporation | Tier: 4 | Location: Not specified
metis-foundation,Metis Foundation | Type: Corporation | Tier: 4 | Location: Not specified
hasu-capital,Hasu Capital | Type: Corporation | Tier: 4 | Based in Norway
e1-ventures,E1 Ventures | Type: Venture | Tier: 4 | Based in United States
fortified-ventures,Fortified Ventures | Type: Venture | Tier: 4 | Location: Not specified
layer-labs,Layer Labs | Type: Corporation | Tier: 4 | Location: Not specified
even-labs,Even Labs | Type: Venture | Tier: 4 | Based in Seychelles
paragraph,Paragraph | Type: Corporation | Tier: 4 | Location: Not specified
andromeda-capital,Andromeda Capital | Type: Venture | Tier: 4 | Based in UAE
aitech-labs,AITECH Labs | Type: Venture | Tier: 4 | Location: Not specified
blue-bay-capital,Blue Bay Capital | Type: Venture | Tier: 4 | Location: Not specified
fundland-capital,FundLand Capital | Type: Venture | Tier: 4 | Location: Not specified
trustless-labs,Trustless Labs | Type: Venture | Tier: 4 | Location: Not specified
gm-vc,GM VC | Type: Venture | Tier: 4 | Location: Not specified
mqdao,MQdao | Type: Venture | Tier: 4 | Location: Not specified
osprey-funds,Osprey Funds | Type: Venture | Tier: 4 | Based in United States
tempo,Tempo | Type: Corporation | Tier: 4 | Location: Not specified
alex,ALEX | Type: Corporation | Tier: 4 | Location: Not specified
moonwalker-capital,Moonwalker Capital | Type: Venture | Tier: 4 | Location: Not specified
safe-ecosystem-foundation,Safe | Type: Corporation | Tier: 4 | Location: Not specified
aladdindao,AladdinDAO | Type: DAO | Tier: 4 | Location: Not specified
boosty-labs,Boosty Labs | Type: Venture | Tier: 4 | Based in United States
dlc-link,DLC.Link | Type: Corporation | Tier: 4 | Location: Not specified
the-a-team,The A-Team | Type: Venture | Tier: 4 | Location: Not specified
kommune,Kommune | Type: Venture | Tier: 4 | Location: Not specified
capsulex-labs,CapsuleX Labs | Type: Venture | Tier: 4 | Location: Not specified
pleb-capital,Pleb Capital | Type: Venture | Tier: 4 | Location: Not specified
protocap,ProtoCap | Type: Venture | Tier: 4 | Location: Not specified
basedvc,BasedVC | Type: Venture | Tier: 4 | Location: Not specified
sorenson-impact,Sorenson Impact | Type: Venture | Tier: 4 | Based in United States
insignius-capital,Insignius Capital | Type: Venture | Tier: 4 | Based in Sweden
aj-ventures,AJ Ventures | Type: Venture | Tier: 4 | Location: Not specified
sky-gardians-capital,Sky Gardians Capital | Type: Venture | Tier: 4 | Location: Not specified
sqrdao,sqrDAO | Type: Venture | Tier: 4 | Location: Not specified
01labs,01Labs | Type: Corporation | Tier: 4 | Based in United States
firestarter,FireStarter | Type: Corporation | Tier: 4 | Location: Not specified
asteroid-capital,Asteroid Capital | Type: Venture | Tier: 4 | Based in Canada
duplicate-capital,Duplicate Capital | Type: Venture | Tier: 4 | Location: Not specified
syndicate,Syndicate | Type: Venture | Tier: 4 | Location: Not specified
ait-protocol,AIT Protocol | Type: Corporation | Tier: 4 | Location: Not specified
digits-ventures,Digits Ventures | Type: Venture | Tier: 4 | Location: Not specified
pastel-alpha,Pastel Alpha | Type: Venture | Tier: 4 | Location: Not specified
castle-capital,Castle Capital | Type: Venture | Tier: 4 | Location: Not specified
ravikant-capital,Ravikant Capital | Type: Venture | Tier: 4 | Based in United States
barmy,BARMY | Type: Venture | Tier: 4 | Location: Not specified
new-incubation-ventures,New Incubation Ventures (NIV) | Type: Venture | Tier: 4 | Based in United States
quack-capital,Quack Capital | Type: Venture | Tier: 4 | Location: Not specified
serdao,SerDAO | Type: DAO | Tier: 4 | Location: Not specified
alpha-protocol-ventures,Alpha Protocol Ventures | Type: Incubator | Tier: 4 | Location: Not specified
deepbrainchain,DeepBrainChain | Type: Corporation | Tier: 4 | Based in Singapore
eclipse-fi,Eclipse Fi | Type: Corporation | Tier: 4 | Location: Not specified
morpheus,Morpheus | Type: Venture | Tier: 4 | Location: Not specified
northbund-capital,Northbund Capital | Type: Venture | Tier: 4 | Location: Not specified
innovating-capital,Innovating Capital | Type: Venture | Tier: 4 | Location: Not specified
goldenchain,GoldenChain | Type: Venture | Tier: 4 | Location: Not specified
agnostic-fund,Agnostic Fund | Type: Venture | Tier: 4 | Based in Cayman Islands
rollup-finance,Rollup.Finance | Type: Corporation | Tier: 4 | Location: Not specified
n8-capital,N8.Capital | Type: Venture | Tier: 4 | Location: Not specified
future3-campus,Future3 Campus | Type: Venture | Tier: 4 | Location: Not specified
nural-capital,Nural Capital | Type: Venture | Tier: 4 | Location: Not specified
estoty,Estoty | Type: Corporation | Tier: 4 | Location: Not specified
movebit,MoveBit | Type: Venture | Tier: 4 | Location: Not specified
supremacy,Supremacy | Type: Incubator | Tier: 4 | Location: Not specified
alienswap-labs,AlienSwap Labs | Type: Corporation | Tier: 4 | Location: Not specified
emchain,Emchain | Type: Corporation | Tier: 4 | Based in UAE
undercurrent-technologies,Undercurrent Technologies | Type: Venture | Tier: 4 | Based in Singapore
pudgy-alpha,Pudgy Alpha | Type: DAO | Tier: 4 | Location: Not specified
r3,R3 | Type: Corporation | Tier: 4 | Based in United States
meteorite-labs,Meteorite Labs | Type: Venture | Tier: 4 | Based in Japan
lmax-group,LMAX Group | Type: Venture | Tier: 4 | Location: Not specified
zodia-custody,Zodia Custody | Type: Corporation | Tier: 4 | Location: Not specified
medi-crypto-international,Medi Crypto International | Type: Venture | Tier: 4 | Based in Indonesia
launch-lab,Launch Lab | Type: Venture | Tier: 4 | Based in United States
spirit-blockchain,Spirit Blockchain | Type: Venture | Tier: 4 | Based in Switzerland
vsquared-ventures,Vsquared Ventures | Type: Venture | Tier: 4 | Based in Germany
simma-capital,Simma Capital | Type: Venture | Tier: 4 | Based in Colombia
coho-deeptech,Coho Deeptech | Type: Venture | Tier: 4 | Based in United States
motherson-group,Motherson Group | Type: Venture | Tier: 4 | Based in India
kira-studio,Kira Studio | Type: Venture | Tier: 4 | Based in UAE
neotokyo,Neotokyo | Type: Corporation | Tier: 4 | Location: Not specified
Cricket,Cricket | Type: Venture | Tier: 4 | Location: Not specified
froyo,froyo | Type: Corporation | Tier: 4 | Location: Not specified
inovo-vc,Inovo.vc | Type: Venture | Tier: 4 | Based in Poland
10x-founders,10x Founders | Type: Venture | Tier: 4 | Based in Germany
transform-capital,Transform Capital | Type: Venture | Tier: 4 | Based in United States
kaso2ka-ventures,Kaso2ka Ventures | Type: Venture | Tier: 4 | Based in Japan
actoz-soft,Actoz Soft | Type: Corporation | Tier: 4 | Based in South Korea
aelf,aelf | Type: Corporation | Tier: 4 | Location: Not specified
cypher9-ventures,Cypher9 Ventures | Type: Venture | Tier: 4 | Location: Not specified
masverse,Masverse | Type: Venture | Tier: 4 | Location: Not specified
parachain-ventures,Parachain Ventures | Type: Venture | Tier: 4 | Based in Cayman Islands
ozdao,OzDAO | Type: DAO | Tier: 4 | Location: Not specified
chainlayer,Chainlayer | Type: Venture | Tier: 4 | Based in Netherlands
twelve-below,Twelve Below | Type: Venture | Tier: 4 | Based in United States
zetachain,ZetaChain | Type: Corporation | Tier: 4 | Location: Not specified
darkside-capital,Darkside Capital | Type: Venture | Tier: 4 | Based in Canada
non-fungible-technologies,Non-fungible Technologies | Type: Venture | Tier: 4 | Location: Not specified
msa-novo,MSA Novo | Type: Venture | Tier: 4 | Location: Not specified
notion,Notion | Type: Corporation | Tier: 4 | Location: Not specified
metropolitan-capital,Metropolitan Capital | Type: Corporation | Tier: 4 | Based in United States
mqdc,MQDC | Type: Corporation | Tier: 4 | Location: Not specified
startgate-com,Startgate.com | Type: Venture | Tier: 4 | Based in Turkey
mobox,MOBOX | Type: Corporation | Tier: 4 | Location: Not specified
imperator,Imperator | Type: Venture | Tier: 4 | Location: Not specified
art-bocks,Art Blocks | Type: Corporation | Tier: 4 | Location: Not specified
cincubator,Cincubator | Type: Incubator | Tier: 4 | Location: Not specified
everstate-capital,Everstate Capital | Type: Venture | Tier: 4 | Based in China
mirai-dao,Mirai DAO | Type: DAO | Tier: 4 | Based in UAE
labyrinth-dao,Labyrinth Dao | Type: DAO | Tier: 4 | Location: Not specified
octu-ventures,Octu Ventures | Type: DAO | Tier: 4 | Location: Not specified
prodigy-investment,Prodigy Investment | Type: Corporation | Tier: 4 | Location: Not specified
graph-paper-capital,Graph Paper Capital | Type: Venture | Tier: 4 | Location: Not specified
walden-catalyst,Walden Catalyst | Type: Venture | Tier: 4 | Based in United States
four-moons,Four Moons | Type: Venture | Tier: 4 | Location: Not specified
marketvector,MarketVector | Type: Venture | Tier: 4 | Based in Germany
wt-capital,WT Capital | Type: Venture | Tier: 4 | Based in Australia
bscn-gaming,BSCN Gaming | Type: Venture | Tier: 4 | Location: Not specified
cartography-capital,Cartography Capital | Type: Venture | Tier: 4 | Location: Not specified
navi-protocol,NAVI Protocol | Type: Venture | Tier: 4 | Location: Not specified
main-quad-capital,Main Quad Capital | Type: Venture | Tier: 4 | Based in United States
kakao-ventures,Kakao Ventures | Type: Venture | Tier: 4 | Based in South Korea
jambo,Jambo | Type: Corporation | Tier: 4 | Based in South Africa
td-capital,TD Capital | Type: Venture | Tier: 4 | Location: Not specified
basement-dao,Basement DAO | Type: DAO | Tier: 4 | Location: Not specified
eos-network-foundation,EOS Network Foundation | Type: Corporation | Tier: 4 | Based in United States
barn-investimentos,Barn Investimentos | Type: Venture | Tier: 4 | Based in Brazil
bunge,Bunge | Type: Corporation | Tier: 4 | Based in United States
xperiment-ventures,Xperiment Ventures | Type: Venture | Tier: 4 | Based in Argentina
iverse-vision,iVerse Vision | Type: Corporation | Tier: 4 | Based in Switzerland
launch-code-capital,Launch Code Capital | Type: Venture | Tier: 4 | Location: Not specified
noir-io,Noir.io | Type: Venture | Tier: 4 | Location: Not specified
miix-capital,MIIX Capital | Type: Venture | Tier: 4 | Based in Singapore
everdime,Everdime | Type: Corporation | Tier: 4 | Location: Not specified
oneblock,OneBlock+ | Type: Venture | Tier: 4 | Location: Not specified
zanshin-capital-management,Zanshin Capital Management | Type: Venture | Tier: 4 | Location: Not specified
phoenix-group,Phoenix Group | Type: Corporation | Tier: 4 | Based in UAE
hillstone,Hillstone | Type: Venture | Tier: 4 | Based in South Korea
beacon-accelerator,Beacon Accelerator | Type: Incubator | Tier: 4 | Location: Not specified
apex-group,Apex Group | Type: Venture | Tier: 4 | Location: Not specified
cth,CTH | Type: Venture | Tier: 4 | Based in Singapore
pampa-energia,Pampa Energia | Type: Corporation | Tier: 4 | Based in Argentina
paperclip-partners,Paperclip Partners | Type: Venture | Tier: 4 | Location: Not specified
sakura-united-platform,SAKURA UNITED PLATFORM | Type: Corporation | Tier: 4 | Based in Japan
ft-partners,FT Partners | Type: Corporation | Tier: 4 | Based in United States
ulta-beauty,Ulta Beauty | Type: Corporation | Tier: 4 | Based in United States
whampoa-digital,Whampoa Digital | Type: Corporation | Tier: 4 | Based in Singapore
crescendo-equity-partners,Crescendo Equity Partners | Type: Venture | Tier: 4 | Based in South Korea
waveslab-ventures,Waveslab Ventures | Type: Venture | Tier: 4 | Location: Not specified
deltahub-capital,DeltaHub Capital | Type: Venture | Tier: 4 | Based in Philippines
bitjungle,BitJungle | Type: Corporation | Tier: 4 | Based in China
cosima-capital,Cosima Capital | Type: Venture | Tier: 4 | Location: Not specified
research-council-of-norway,Research Council of Norway | Type: Corporation | Tier: 4 | Based in Norway
viral-ventures,Viral Ventures | Type: Venture | Tier: 4 | Location: Not specified
sound-xyz,Sound.xyz | Type: Corporation | Tier: 4 | Based in United States
mg-investments,M&G Investments | Type: Venture | Tier: 4 | Based in United Kingdom
big-time-games,Big Time Games | Type: Corporation | Tier: 4 | Based in Argentina
proofoftalk,Proof of talk | Type: Corporation | Tier: 4 | Based in France
homeless-ventures,Homeless Ventures | Type: Venture | Tier: 4 | Location: Not specified
ms2-capital,MS2 Capital | Type: Venture | Tier: 4 | Location: Not specified
beglobal,BeGlobal | Type: Corporation | Tier: 4 | Based in Spain
cryptopia-vc,Cryptopia VC | Type: Venture | Tier: 4 | Based in Guatemala
dinero,Dinero | Type: Corporation | Tier: 4 | Location: Not specified
millennium-club,Millennium Club | Type: DAO | Tier: 4 | Location: Not specified
narcissus-ventures,Narcissus Ventures | Type: Venture | Tier: 4 | Location: Not specified
onesixtytwo-digital-capital,OneSixtyTwo Digital Capital | Type: Venture | Tier: 4 | Based in Cayman Islands
spiral-dao,Spiral DAO | Type: DAO | Tier: 4 | Location: Not specified
julian-capital,Julian capital | Type: Venture | Tier: 4 | Location: Not specified
atoia-ventures,Atoia Ventures | Type: Venture | Tier: 4 | Based in UAE
k2-associates-investment,K2 & Associates Investment | Type: Venture | Tier: 4 | Based in Canada
credit-agricole,Credit Agricole | Type: Venture | Tier: 4 | Based in France
teallink-capital,TealLink Capital | Type: Venture | Tier: 4 | Location: Not specified
hetz-ventures,Hetz Ventures | Type: Venture | Tier: 4 | Based in Israel
actyus,Actyus | Type: Venture | Tier: 4 | Based in Spain
crane-earth,Crane Earth | Type: Venture | Tier: 4 | Based in United Kingdom
ksk-angel-fund,KSK Angel Fund | Type: Venture | Tier: 4 | Location: Not specified
bnbswap-ventures,BNBSwap Ventures | Type: Venture | Tier: 4 | Location: Not specified
j-cam,J-CAM | Type: Corporation | Tier: 4 | Based in Japan
